Smiles,IC50_nM
NC1=N[C@@]2(CO1)c1cc(-c3cccnc3F)ccc1Oc1cnc(-c3ccccc3)cc12,1.4
[2H]C1([2H])OC(N)=N[C@]12c1cc(-c3cncnc3)ccc1C[C@@]21C[C@@H](C)[C@H](OC)[C@@H](C)C1,1.5
[C-]#[N+]c1ccc2c(c1)[C@@]1(N=C(C)C(N)=N1)[C@]1(CC[C@H](OC)[C@@H](C)C1)C2,1.5
C[C@]1(c2cc(/C=C(\F)c3ccc(C#N)cn3)ccc2F)N=C(N)S[C@@]2(C(=O)N3CCOCC3)C[C@H]21,1.5
C[C@]1(c2cc(NC(=O)c3ccc(C#N)cn3)ccc2F)N=C(N)O[C@@H]2CCC(F)(F)[C@@H]21,1.5
C[C@H]1C[C@H]2CC(F)(F)C(N)=N[C@@]2(c2cc(NC(=O)c3cnc(OCF)cn3)ccc2F)CO1,1.5
CC1(c2cc(NC(=O)c3ccc(C#N)cn3)ccc2F)Cc2cnccc2C(N)=N1,1.5
Cc1cc(F)cnc1C(=O)Nc1ccc(F)c([C@]2(C)C[S@@]3(=O)=NCCCCN3C(N)=N2)c1,1.5
CO[C@H]1[C@H](C)C[C@@]2(Cc3ccc(-c4cncc(F)c4)cc3[C@@]23N=C(C)C(N)=N3)C[C@@H]1C,1.5
COc1ccc(F)c(-c2ccc3c(c2)[C@@]2(N=C(C)C(N)=N2)[C@]2(CC[C@H](OC)CC2)C3)c1,1.5
COC1CCC2(CC1)Cc1ccc(-c3cccc(Cl)c3)cc1C21N=C(N)N(C)C1=O,1.5
C[C@@]1(c2cc(NC(=O)c3ncc(C#N)cc3Cl)ccc2F)C=CSC(N)=N1,1.6
CC#CCOc1cnc(C(=O)Nc2cc(F)c(F)c([C@@]3(CF)N=C(N)O[C@@H]4C[C@@H]43)c2)cn1,1.6
CN1C(=O)[C@]2(N=C1N)c1cc(-c3cccnc3F)ccc1C[C@H]1CCOC[C@@H]12,1.6
CO[C@H]1CC[C@]2(CC1)Cc1ccc(-c3cc(Cl)cc(C#N)c3)cc1C21N=C(C)C(N)=N1,1.6
CO[C@H]1CC[C@]2(CC1)Cc1ccc(-c3cncc(Br)c3)cc1C21N=C(C)C(N)=N1,1.6
COc1cnc(C(=O)Nc2ccc(F)c([C@@]3(C)N=C(N)O[C@H](CF)[C@@H]3F)c2)cn1,1.6
NC1=N[C@](CF)(c2cc(NC(=O)c3cnc(Cl)cn3)ccc2F)[C@@H]2C[C@]2(C(F)F)S1,1.6
COc1ccc(C(=O)N2Cc3ccc(N4C(=O)c5ccccc5C4=O)cc3CC2=O)cc1,1.69
C[C@@]1(c2cc(NC(=O)c3ccc(C#N)cn3)ccc2F)Cn2nc(C#N)cc2C(N)=N1,1.7
C[C@@]1(c2cc(NC(=O)c3ccc(C#N)cn3)ccc2F)Cn2nncc2C(N)=N1,1.7
C[C@]1(c2cc(NC(=O)c3ccc(C#N)cn3)ccc2F)N=C(N)O[C@@H]2CC(F)(F)C[C@@H]21,1.7
